epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
62,2396.15,0.36429,0.26133,0.80466,0.99906,0.99847,0.995,0.98863,0.21849,0.19614,0.74875,0.00849025,0.00849025,0.00849025
63,2433.37,0.36089,0.25971,0.80466,0.99901,0.99836,0.995,0.9889,0.22001,0.19644,0.74854,0.0084655,0.0084655,0.0084655
64,2470.59,0.35826,0.25702,0.80437,0.99891,0.99845,0.995,0.9879,0.2291,0.19993,0.74961,0.00844075,0.00844075,0.00844075
65,2508.02,0.36247,0.25953,0.804,0.99906,0.99875,0.995,0.98826,0.22305,0.19279,0.74721,0.008416,0.008416,0.008416
66,2545.34,0.35859,0.25615,0.8037,0.99887,0.99865,0.995,0.98991,0.20591,0.18607,0.74872,0.00839125,0.00839125,0.00839125
67,2582.58,0.35865,0.25697,0.80289,0.99867,0.99861,0.995,0.98911,0.21319,0.18759,0.74793,0.0083665,0.0083665,0.0083665
68,2620.03,0.35228,0.2547,0.80402,0.99865,0.99868,0.995,0.98922,0.21123,0.18954,0.74685,0.00834175,0.00834175,0.00834175
69,2657.24,0.35137,0.25355,0.80337,0.99859,0.99889,0.995,0.98941,0.20999,0.18675,0.74753,0.008317,0.008317,0.008317
70,2694.82,0.35162,0.25246,0.80328,0.99921,0.99858,0.995,0.98957,0.2106,0.18474,0.74891,0.00829225,0.00829225,0.00829225
71,2732.28,0.35027,0.25185,0.80261,0.99884,0.99848,0.995,0.98871,0.22289,0.19142,0.74936,0.0082675,0.0082675,0.0082675
72,2769.69,0.34648,0.24994,0.80235,0.99877,0.99859,0.995,0.9889,0.21445,0.18786,0.74663,0.00824275,0.00824275,0.00824275
73,2806.92,0.34921,0.24958,0.80319,0.99904,0.99882,0.995,0.98974,0.20359,0.18232,0.74676,0.008218,0.008218,0.008218
74,2844.3,0.34691,0.24965,0.80331,0.99917,0.99874,0.995,0.98977,0.20231,0.18274,0.74667,0.00819325,0.00819325,0.00819325
75,2881.55,0.34572,0.2481,0.80304,0.99925,0.99869,0.995,0.98907,0.21122,0.18545,0.747,0.0081685,0.0081685,0.0081685
76,2919.04,0.34609,0.24848,0.80224,0.9986,0.9987,0.995,0.98942,0.20697,0.18288,0.74724,0.00814375,0.00814375,0.00814375
77,2956.71,0.34128,0.24626,0.80344,0.99917,0.99869,0.995,0.98975,0.20099,0.18037,0.74628,0.008119,0.008119,0.008119
78,2994.39,0.34158,0.24554,0.8023,0.99916,0.99881,0.995,0.98867,0.21196,0.18149,0.74569,0.00809425,0.00809425,0.00809425
79,3031.71,0.3409,0.24591,0.80237,0.99914,0.99872,0.995,0.98987,0.19964,0.17857,0.74609,0.0080695,0.0080695,0.0080695
80,3069.23,0.33741,0.24373,0.80258,0.99892,0.99876,0.995,0.9903,0.19551,0.17699,0.74572,0.00804475,0.00804475,0.00804475
81,3106.29,0.33845,0.24402,0.80133,0.99911,0.99873,0.995,0.99019,0.19619,0.17641,0.74546,0.00802,0.00802,0.00802
82,3143.58,0.33661,0.24237,0.80185,0.99888,0.99859,0.995,0.99013,0.19544,0.17698,0.74545,0.00799525,0.00799525,0.00799525
83,3180.82,0.3337,0.24054,0.80159,0.99893,0.99853,0.995,0.99003,0.19474,0.17632,0.74513,0.0079705,0.0079705,0.0079705
84,3218.22,0.33268,0.24075,0.80087,0.99887,0.99862,0.995,0.98996,0.20004,0.17646,0.74596,0.00794575,0.00794575,0.00794575
85,3255.88,0.33178,0.23979,0.80004,0.99934,0.99888,0.995,0.9904,0.18979,0.17198,0.74493,0.007921,0.007921,0.007921
86,3293.24,0.33338,0.23943,0.80116,0.99881,0.9988,0.995,0.99002,0.19885,0.17407,0.74465,0.00789625,0.00789625,0.00789625
87,3330.57,0.33026,0.23833,0.80132,0.99912,0.99892,0.995,0.99009,0.1931,0.17266,0.74481,0.0078715,0.0078715,0.0078715
88,3367.78,0.32869,0.23688,0.80037,0.99921,0.99871,0.995,0.99041,0.19031,0.17108,0.74499,0.00784675,0.00784675,0.00784675
89,3405.35,0.32818,0.23642,0.8005,0.99905,0.99888,0.995,0.99002,0.19506,0.17383,0.74462,0.007822,0.007822,0.007822
90,3442.72,0.32971,0.23811,0.80074,0.99892,0.99872,0.995,0.99054,0.18773,0.16918,0.74364,0.00779725,0.00779725,0.00779725
91,3480.19,0.32699,0.235,0.79997,0.999,0.99856,0.995,0.99066,0.18905,0.16799,0.74451,0.0077725,0.0077725,0.0077725
92,3518.15,0.32487,0.23411,0.80196,0.99881,0.99869,0.995,0.99055,0.18794,0.16856,0.74407,0.00774775,0.00774775,0.00774775
93,3555.73,0.32557,0.23478,0.80052,0.99896,0.99845,0.995,0.99086,0.18506,0.16715,0.74377,0.007723,0.007723,0.007723
94,3593.22,0.32253,0.23337,0.79958,0.9994,0.99871,0.995,0.9897,0.19512,0.16954,0.74378,0.00769825,0.00769825,0.00769825
95,3630.99,0.32239,0.23292,0.79967,0.99891,0.99867,0.995,0.99052,0.18491,0.16431,0.74335,0.0076735,0.0076735,0.0076735
96,3668.29,0.31959,0.23108,0.79983,0.99899,0.99888,0.995,0.99078,0.18411,0.16248,0.74362,0.00764875,0.00764875,0.00764875
97,3706.05,0.32104,0.23269,0.8008,0.9993,0.99878,0.995,0.99054,0.18796,0.16428,0.74321,0.007624,0.007624,0.007624
98,3743.18,0.3196,0.23096,0.79925,0.99918,0.99859,0.995,0.99056,0.18454,0.1635,0.74299,0.00759925,0.00759925,0.00759925
99,3780.78,0.31788,0.22995,0.79909,0.99919,0.99872,0.995,0.99066,0.19121,0.1659,0.74295,0.0075745,0.0075745,0.0075745
100,3818.1,0.31725,0.22931,0.80104,0.99907,0.99872,0.995,0.99076,0.18327,0.16402,0.74312,0.00754975,0.00754975,0.00754975
101,3855.77,0.31499,0.22786,0.79969,0.99917,0.99875,0.995,0.99078,0.1824,0.16082,0.74339,0.007525,0.007525,0.007525
